iter	Passed	Remaining
0	48	48517
1	95	47591
2	139	46342
3	188	46843
4	235	46844
5	286	47505
6	337	47866
7	393	48850
8	449	49494
9	499	49453
10	547	49204
11	593	48840
12	637	48390
13	682	48075
14	735	48322
15	794	48864
16	845	48891
17	890	48602
18	936	48356
19	985	48274
20	1034	48223
21	1082	48111
22	1129	47982
23	1182	48093
24	1239	48331
25	1296	48555
26	1351	48716
27	1404	48746
28	1458	48829
29	1510	48826
30	1555	48635
31	1606	48586
32	1649	48339
33	1699	48292
34	1745	48137
35	1798	48157
36	1852	48216
37	1905	48241
38	1972	48599
39	2040	48973
40	2102	49174
41	2160	49274
42	2225	49522
43	2282	49591
44	2330	49466
45	2377	49316
46	2429	49253
47	2480	49187
48	2529	49095
49	2582	49058
50	2635	49043
51	2690	49044
52	2743	49024
53	2790	48889
54	2838	48766
55	2868	48355
56	2915	48231
57	2968	48219
58	3016	48116
59	3063	47996
60	3118	48001
61	3176	48063
62	3229	48025
63	3278	47946
64	3333	47946
65	3386	47917
66	3435	47837
67	3483	47747
68	3529	47624
69	3575	47496
70	3623	47416
71	3669	47300
72	3714	47166
73	3758	47028
74	3806	46941
75	3861	46945
76	3918	46972
77	3975	46992
78	4027	46950
79	4065	46749
80	4111	46651
81	4158	46558
82	4207	46482
83	4253	46386
84	4299	46287
85	4349	46226
86	4395	46129
87	4441	46027
88	4487	45932
89	4533	45836
90	4582	45777
91	4627	45672
92	4654	45392
93	4695	45258
94	4722	44990
95	4766	44885
96	4810	44785
97	4854	44680
98	4898	44579
99	4942	44478
100	4986	44382
101	5030	44290
102	5079	44235
103	5125	44155
104	5170	44072
105	5217	44001
106	5265	43944
107	5313	43884
108	5360	43820
109	5407	43753
110	5449	43645
111	5495	43572
112	5537	43470
113	5582	43386
114	5627	43307
115	5670	43212
116	5714	43124
117	5758	43046
118	5798	42930
119	5839	42825
120	5884	42746
121	5931	42684
122	5978	42624
123	6023	42553
124	6070	42493
125	6112	42399
126	6156	42320
127	6199	42232
128	6243	42157
129	6284	42054
130	6326	41965
131	6369	41886
132	6412	41804
133	6455	41722
134	6496	41627
135	6539	41543
136	6580	41454
137	6623	41370
138	6662	41268
139	6702	41170
140	6741	41068
141	6780	40970
142	6820	40873
143	6858	40768
144	6895	40657
145	6933	40557
146	6970	40448
147	7008	40347
148	7048	40258
149	7086	40157
150	7126	40066
151	7164	39969
152	7202	39873
153	7242	39787
154	7284	39712
155	7325	39631
156	7367	39561
157	7410	39493
158	7451	39415
159	7491	39332
160	7535	39269
161	7564	39127
162	7603	39044
163	7643	38961
164	7683	38883
165	7721	38795
166	7762	38720
167	7800	38632
168	7836	38532
169	7874	38448
170	7911	38354
171	7948	38262
172	7986	38179
173	8024	38094
174	8061	38002
175	8096	37904
176	8132	37815
177	8171	37734
178	8193	37578
179	8233	37508
180	8272	37433
181	8311	37356
182	8349	37274
183	8388	37200
184	8425	37115
185	8462	37035
186	8501	36961
187	8538	36879
188	8576	36802
189	8614	36723
190	8653	36650
191	8693	36586
192	8731	36509
193	8768	36430
194	8804	36347
195	8842	36273
196	8880	36199
197	8920	36134
198	8959	36061
199	8995	35981
200	9031	35902
201	9068	35823
202	9103	35743
203	9141	35668
204	9178	35596
205	9216	35524
206	9252	35445
